strategy,start_date,end_date,final_value,return_pct,cagr_pct,max_drawdown_pct,lump_final,beats_lump
LumpSum,1999-07,2009-07,7007955.762700032,-29.920442372999677,-3.4929289480592596,62.837693411898464,7007955.762700032,False
DCA_3y,1999-07,2009-07,7403676.686310026,-25.963233136899746,-2.9613503327573287,62.8376934118985,7007955.762700032,True
Hybrid25pct_3y,1999-07,2009-07,7304746.4554075375,-26.95253544592463,-3.091802745116079,62.83769341189846,7007955.762700032,True
DCA_5y,1999-07,2009-07,8302333.604454339,-16.976663955456615,-1.8432844246996538,62.83769341189848,7007955.762700032,True
Hybrid25pct_5y,1999-07,2009-07,7978739.1440157555,-20.212608559842447,-2.2327438893918417,62.837693411898464,7007955.762700032,True
DCA_7y,1999-07,2009-07,8090747.122165153,-19.092528778348473,-2.09635462909048,62.837693411898535,7007955.762700032,True
Hybrid25pct_7y,1999-07,2009-07,7820049.282298874,-21.799507177011257,-2.4289566558739706,62.8376934118985,7007955.762700032,True
DCA_10y,1999-07,2009-07,7880967.272217752,-21.190327277822472,-2.3532141917857463,59.12463729517251,7007955.762700032,True
Hybrid25pct_10y,1999-07,2009-07,7662714.394838316,-23.372856051616843,-2.627064273597357,60.031075594359486,7007955.762700032,True
LumpSum,1999-08,2009-08,7386942.499990658,-26.130575000093426,-2.983305868291486,62.837693411898464,7386942.499990658,False
DCA_3y,1999-08,2009-08,7632029.571859585,-23.679704281404145,-2.6661270516706415,62.837693411898485,7386942.499990658,True
Hybrid25pct_3y,1999-08,2009-08,7570757.803892364,-24.29242196107636,-2.7445527724972663,62.83769341189846,7386942.499990658,True
DCA_5y,1999-08,2009-08,8494353.826311601,-15.056461736883985,-1.6185917759689694,62.837693411898464,7386942.499990658,True
Hybrid25pct_5y,1999-08,2009-08,8217500.994731356,-17.82499005268644,-1.9440443791077344,62.837693411898464,7386942.499990658,True
DCA_7y,1999-08,2009-08,8243378.718564757,-17.566212814352433,-1.9132092594162042,62.837693411898535,7386942.499990658,True
Hybrid25pct_7y,1999-08,2009-08,8029269.663921234,-19.707303360787655,-2.1710022135963514,62.8376934118985,7386942.499990658,True
DCA_10y,1999-08,2009-08,8060996.645851341,-19.390033541486584,-2.1324144748398832,58.752498724538626,7386942.499990658,True
Hybrid25pct_10y,1999-08,2009-08,7892483.109386164,-21.075168906138366,-2.33895520902615,59.77682147104536,7386942.499990658,True
LumpSum,1999-09,2009-09,7914353.345335856,-20.85646654664144,-2.311926815242926,62.83769341189848,7914353.345335856,False
DCA_3y,1999-09,2009-09,7745678.482651919,-22.543215173480814,-2.5221489032692834,62.8376934118985,7914353.345335856,False
Hybrid25pct_3y,1999-09,2009-09,7787847.198322915,-22.121528016770853,-2.46920996262624,62.83769341189846,7914353.345335856,False
DCA_5y,1999-09,2009-09,8559494.845762901,-14.405051542370995,-1.5434047011931185,62.83769341189848,7914353.345335856,True
Hybrid25pct_5y,1999-09,2009-09,8398209.47065613,-16.017905293438695,-1.7305172131446,62.83769341189848,7914353.345335856,True
DCA_7y,1999-09,2009-09,8268529.8357013175,-17.31470164298683,-1.8833233128342286,62.83769341189852,7914353.345335856,True
Hybrid25pct_7y,1999-09,2009-09,8179985.713109956,-18.200142868900436,-1.9889020061912954,62.8376934118985,7914353.345335856,True
DCA_10y,1999-09,2009-09,8119956.8777527055,-18.800431222472945,-2.061066093789843,58.377416445798545,7914353.345335856,True
Hybrid25pct_10y,1999-09,2009-09,8068555.994648486,-19.314440053515135,-2.123240631532808,59.552825397391864,7914353.345335856,True
LumpSum,1999-10,2009-10,7629176.167991458,-23.708238320085417,-2.669766707210386,62.83769341189848,7629176.167991458,False
DCA_3y,1999-10,2009-10,7732686.273247607,-22.673137267523924,-2.538511699645951,62.8376934118985,7629176.167991458,True
Hybrid25pct_3y,1999-10,2009-10,7706808.746933579,-22.9319125306642,-2.571176523463292,62.837693411898464,7629176.167991458,True
DCA_5y,1999-10,2009-10,8458837.899444178,-15.411621005558217,-1.6598038400243653,62.83769341189848,7629176.167991458,True
Hybrid25pct_5y,1999-10,2009-10,8251422.466580988,-17.485775334190123,-1.903642318189891,62.837693411898464,7629176.167991458,True
DCA_7y,1999-10,2009-10,8136984.682638961,-18.63015317361039,-2.04054734677257,62.83769341189852,7629176.167991458,True
Hybrid25pct_7y,1999-10,2009-10,8010032.553977086,-19.899674460229132,-2.1944661070387395,62.8376934118985,7629176.167991458,True
DCA_10y,1999-10,2009-10,8027146.845362438,-19.728531546375617,-2.17358897344474,57.99768204476834,7629176.167991458,True
Hybrid25pct_10y,1999-10,2009-10,7927654.176019687,-20.72345823980313,-2.295521799376643,59.254543196945384,7629176.167991458,True
