strategy,start_date,end_date,final_value,return_pct,cagr_pct,max_drawdown_pct,lump_final,beats_lump
LumpSum,1999-07,2009-07,5762642.958495562,-42.373570415044384,-5.362737075883073,78.58993274714258,5762642.958495562,False
DCA_3y,1999-07,2009-07,6229250.624141681,-37.70749375858319,-4.6230170248309,62.315295395336044,5762642.958495562,True
Hybrid25pct_3y,1999-07,2009-07,6112598.707730158,-38.87401292269842,-4.80314771608088,68.04092584348366,5762642.958495562,True
DCA_5y,1999-07,2009-07,8124865.25569333,-18.75134744306669,-2.055147459055695,58.848637832373896,5762642.958495562,True
Hybrid25pct_5y,1999-07,2009-07,7534309.681393887,-24.65690318606113,-2.7914764969513395,58.84863783237391,5762642.958495562,True
DCA_7y,1999-07,2009-07,8318165.1968922485,-16.818348031077512,-1.824583113316558,58.84863783237396,5762642.958495562,True
Hybrid25pct_7y,1999-07,2009-07,7679284.637293079,-23.20715362706921,-2.6060283178947263,58.84863783237393,5762642.958495562,True
DCA_10y,1999-07,2009-07,8406538.42120154,-15.934615787984596,-1.7207756531716578,54.806763319570486,5762642.958495562,True
Hybrid25pct_10y,1999-07,2009-07,7745564.555525047,-22.544354444749537,-2.522292279282623,55.60971286742421,5762642.958495562,True
LumpSum,1999-08,2009-08,5675612.182089162,-43.24387817910838,-5.506644506155201,78.58993274714257,5675612.182089162,False
DCA_3y,1999-08,2009-08,6404711.417349673,-35.95288582650327,-4.357712077527209,60.27809033308509,5675612.182089162,True
Hybrid25pct_3y,1999-08,2009-08,6222436.608534553,-37.77563391465447,-4.633455204648184,66.76080301759704,5675612.182089162,True
DCA_5y,1999-08,2009-08,8153966.395203154,-18.46033604796846,-2.020122593421292,58.84863783237391,5675612.182089162,True
Hybrid25pct_5y,1999-08,2009-08,7534377.841924654,-24.656221580753456,-2.7913885558145446,58.848637832373896,5675612.182089162,True
DCA_7y,1999-08,2009-08,8318468.771977125,-16.815312280228756,-1.8242248237135383,58.84863783237396,5675612.182089162,True
Hybrid25pct_7y,1999-08,2009-08,7657754.624505139,-23.422453754948613,-2.633368673022407,58.84863783237393,5675612.182089162,True
DCA_10y,1999-08,2009-08,8405758.903979564,-15.942410960204356,-1.721687009797157,54.435187628795255,5675612.182089162,True
Hybrid25pct_10y,1999-08,2009-08,7723222.223506964,-22.767777764930365,-2.55044660481335,55.304209318247175,5675612.182089162,True
