strategy,start_date,end_date,final_value,return_pct,cagr_pct,max_drawdown_pct,lump_final,beats_lump
LumpSum,1999-07,2009-07,5049837.225340491,-49.50162774659509,-6.604115816606537,85.48010849595363,5049837.225340491,False
DCA_3y,1999-07,2009-07,3975856.248375403,-60.241437516245966,-8.810871036002066,78.47601612115494,5049837.225340491,False
Hybrid25pct_3y,1999-07,2009-07,4244351.492616682,-57.55648507383317,-8.213008707854797,81.17679001360958,5049837.225340491,False
DCA_5y,1999-07,2009-07,5023513.595191523,-49.76486404808477,-6.652915506060985,70.76413133399062,5049837.225340491,False
Hybrid25pct_5y,1999-07,2009-07,5030094.502728766,-49.69905497271234,-6.640694046323192,76.69279892041794,5049837.225340491,False
DCA_7y,1999-07,2009-07,5256231.196593556,-47.43768803406444,-6.229237834701085,70.18957037345601,5049837.225340491,True
Hybrid25pct_7y,1999-07,2009-07,5204632.703780296,-47.95367296219703,-6.321698332437609,75.41201671484843,5049837.225340491,True
DCA_10y,1999-07,2009-07,6023992.6825372735,-39.760073174627266,-4.942050129242603,63.62515420132887,5049837.225340491,True
Hybrid25pct_10y,1999-07,2009-07,5780453.818238076,-42.19546181761924,-5.333527713865327,71.81863393906053,5049837.225340491,True
LumpSum,1999-08,2009-08,4964209.4015326835,-50.35790598467316,-6.763704578218654,85.48010849595364,4964209.4015326835,False
DCA_3y,1999-08,2009-08,4018490.4323819093,-59.81509567618091,-8.713555138649697,77.4910156809187,4964209.4015326835,False
Hybrid25pct_3y,1999-08,2009-08,4254920.17466961,-57.4507982533039,-8.190178783087166,80.60380249306456,4964209.4015326835,False
DCA_5y,1999-08,2009-08,5020488.641378908,-49.79511358621092,-6.658538008267434,70.3892269819945,4964209.4015326835,True
Hybrid25pct_5y,1999-08,2009-08,5006418.831417352,-49.93581168582648,-6.6847297973467334,76.31361319189526,4964209.4015326835,True
DCA_7y,1999-08,2009-08,5245583.097732587,-47.54416902267413,-6.248251300906027,70.08614184417604,4964209.4015326835,True
