strategy,start_date,end_date,final_value,return_pct,cagr_pct,max_drawdown_pct,lump_final,beats_lump
LumpSum,1999-07,2009-07,6153347.824864907,-38.466521751350925,-4.739875127073678,61.31753820035774,6153347.824864907,False
DCA_3y,1999-07,2009-07,6381152.590011211,-36.18847409988789,-4.392951112995225,61.31753820035777,6153347.824864907,True
Hybrid25pct_3y,1999-07,2009-07,6324201.3987246435,-36.75798601275356,-4.478624158078781,61.31753820035774,6153347.824864907,True
DCA_5y,1999-07,2009-07,7136719.403407703,-28.63280596592297,-3.3170569001021333,61.317538200357745,6153347.824864907,True
Hybrid25pct_5y,1999-07,2009-07,6890876.508772003,-31.091234912279965,-3.6553847561828667,61.31753820035774,6153347.824864907,True
DCA_7y,1999-07,2009-07,7096000.274526742,-29.039997254732576,-3.3723622801977493,61.317538200357816,6153347.824864907,True
Hybrid25pct_7y,1999-07,2009-07,6860337.162111287,-31.396628378887126,-3.6981686611654685,61.31753820035778,6153347.824864907,True
DCA_10y,1999-07,2009-07,7157751.796831313,-28.42248203168687,-3.288601501316324,57.21291216022263,6153347.824864907,True
Hybrid25pct_10y,1999-07,2009-07,6906650.803839713,-30.933491961602865,-3.6333526517244197,58.19393905159198,6153347.824864907,True
LumpSum,1999-08,2009-08,6565740.345957986,-34.34259654042013,-4.119923830183558,61.317538200357745,6565740.345957986,False
DCA_3y,1999-08,2009-08,6561261.516709759,-34.38738483290241,-4.1264663119951805,61.31753820035777,6565740.345957986,False
Hybrid25pct_3y,1999-08,2009-08,6562381.224021825,-34.37618775978175,-4.124830314810534,61.317538200357724,6565740.345957986,False
DCA_5y,1999-08,2009-08,7286072.304786218,-27.139276952137813,-3.1166052965907465,61.31753820035774,6565740.345957986,True
Hybrid25pct_5y,1999-08,2009-08,7105989.31507916,-28.9401068492084,-3.3587686152116047,61.31753820035774,6565740.345957986,True
DCA_7y,1999-08,2009-08,7223345.39945785,-27.7665460054215,-3.200338592473717,61.317538200357816,6565740.345957986,True
Hybrid25pct_7y,1999-08,2009-08,7058944.1360828895,-29.410558639171104,-3.4229413284913024,61.31753820035778,6565740.345957986,True
DCA_10y,1999-08,2009-08,7315961.785642734,-26.84038214357266,-3.076934231149475,56.8143759254512,6565740.345957986,True
Hybrid25pct_10y,1999-08,2009-08,7128406.4257215485,-28.715935742784517,-3.3283246086973195,57.93124543081043,6565740.345957986,True
LumpSum,1999-09,2009-09,6943369.897796286,-30.566301022037134,-3.5822416441778415,61.317538200357745,6943369.897796286,False
DCA_3y,1999-09,2009-09,6602940.906633847,-33.970590933661526,-4.0657375407800895,61.31753820035777,6943369.897796286,False
Hybrid25pct_3y,1999-09,2009-09,6688048.154424466,-33.11951845575534,-3.9427964541738136,61.317538200357724,6943369.897796286,False
DCA_5y,1999-09,2009-09,7287354.002478914,-27.12645997521086,-3.1149011494224443,61.317538200357745,6943369.897796286,True
Hybrid25pct_5y,1999-09,2009-09,7201357.976308258,-27.986420236917418,-3.229844258074699,61.31753820035776,6943369.897796286,True
DCA_7y,1999-09,2009-09,7199275.213747088,-28.007247862529116,-3.2326433897682194,61.3175382003578,6943369.897796286,True
Hybrid25pct_7y,1999-09,2009-09,7135298.884759392,-28.647011152406087,-3.3189814850398625,61.31753820035777,6943369.897796286,True
DCA_10y,1999-09,2009-09,7324445.250668015,-26.755547493319842,-3.065701057429848,56.412795201446976,6943369.897796286,True
Hybrid25pct_10y,1999-09,2009-09,7229176.412450084,-27.708235875499156,-3.192527320575389,57.685458796070876,6943369.897796286,True
LumpSum,1999-10,2009-10,6554724.09113982,-34.452759088601795,-4.136023121864696,61.317538200357745,6554724.09113982,False
DCA_3y,1999-10,2009-10,6579060.215346206,-34.20939784653794,-4.100490443675575,61.31753820035777,6554724.09113982,True
Hybrid25pct_3y,1999-10,2009-10,6572976.184294618,-34.270238157053825,-4.109362509239922,61.317538200357724,6554724.09113982,True
DCA_5y,1999-10,2009-10,7195689.3212089045,-28.043106787910954,-3.23746436316521,61.317538200357745,6554724.09113982,True
Hybrid25pct_5y,1999-10,2009-10,7035448.013691635,-29.645519863083646,-3.455135838538448,61.317538200357745,6554724.09113982,True
DCA_7y,1999-10,2009-10,7085371.872365388,-29.14628127634612,-3.3868449495682795,61.3175382003578,6554724.09113982,True
Hybrid25pct_7y,1999-10,2009-10,6952709.927059001,-30.47290072940999,-3.5692796381608716,61.31753820035777,6554724.09113982,True
DCA_10y,1999-10,2009-10,7244707.720922067,-27.552922790779334,-3.1717490880751376,56.00707258646255,6554724.09113982,True
Hybrid25pct_10y,1999-10,2009-10,7072211.813476508,-29.277881865234924,-3.404804469023659,57.343755258270846,6554724.09113982,True
LumpSum,1999-11,2009-11,6671257.1015743185,-33.28742898425682,-3.9669399211293976,61.317538200357745,6671257.1015743185,False
DCA_3y,1999-11,2009-11,6728065.830245568,-32.719341697544316,-3.8854751723482295,61.31753820035777,6671257.1015743185,True
Hybrid25pct_3y,1999-11,2009-11,6713863.648077763,-32.86136351922237,-3.9057831539776933,61.317538200357724,6671257.1015743185,True
DCA_5y,1999-11,2009-11,7316021.475300174,-26.83978524699826,-3.0768551535992783,61.317538200357745,6671257.1015743185,True
Hybrid25pct_5y,1999-11,2009-11,7154830.38186871,-28.4516961813129,-3.2925494732497285,61.317538200357745,6671257.1015743185,True
DCA_7y,1999-11,2009-11,7173968.7139040725,-28.26031286095928,-3.2667124493007016,61.3175382003578,6671257.1015743185,True
Hybrid25pct_7y,1999-11,2009-11,7048290.810821638,-29.517091891783622,-3.4375266008775496,61.31753820035777,6671257.1015743185,True
DCA_10y,1999-11,2009-11,7373563.6800204,-26.264363199795994,-3.0008913302609685,55.60156326893561,6671257.1015743185,True
Hybrid25pct_10y,1999-11,2009-11,7197987.035408882,-28.020129645911172,-3.2343750036749386,57.04670954196251,6671257.1015743185,True
LumpSum,1999-12,2009-12,6899058.0876659155,-31.00941912334084,-3.643951809544055,61.317538200357745,6899058.0876659155,False
DCA_3y,1999-12,2009-12,7393909.419703228,-26.060905802967717,-2.9741597184989033,61.31753820035778,6899058.0876659155,True
Hybrid25pct_3y,1999-12,2009-12,7270196.586693908,-27.298034133060924,-3.137736073222719,61.31753820035774,6899058.0876659155,True
DCA_5y,1999-12,2009-12,8009317.095254667,-19.906829047453336,-2.1953397443758016,61.317538200357745,6899058.0876659155,True
Hybrid25pct_5y,1999-12,2009-12,7731752.34335748,-22.6824765664252,-2.5396888732857836,61.317538200357745,6899058.0876659155,True
DCA_7y,1999-12,2009-12,7822465.193404796,-21.77534806595205,-2.4259427336540296,61.3175382003578,6899058.0876659155,True
Hybrid25pct_7y,1999-12,2009-12,7591613.416970082,-24.08386583029919,-2.717794394862738,61.31753820035777,6899058.0876659155,True
DCA_10y,1999-12,2009-12,8081592.355009999,-19.18407644990001,-2.107438176271803,55.19423664477263,6899058.0876659155,True
Hybrid25pct_10y,1999-12,2009-12,7785958.78817398,-22.1404121182602,-2.471575163548334,56.68261379455477,6899058.0876659155,True
LumpSum,2000-01,2010-01,6473763.906099659,-35.2623609390034,-4.255092107085289,61.317538200357745,6473763.906099659,False
DCA_3y,2000-01,2010-01,6997328.042418269,-30.026719575817307,-3.5075744567304556,61.31753820035777,6473763.906099659,True
Hybrid25pct_3y,2000-01,2010-01,6866437.008338625,-31.33562991661375,-3.689609439624675,61.31753820035774,6473763.906099659,True
DCA_5y,2000-01,2010-01,7518336.566647569,-24.816634333524313,-2.8121048795202275,61.317538200357745,6473763.906099659,True
Hybrid25pct_5y,2000-01,2010-01,7257193.4015105935,-27.42806598489407,-3.1550744328613822,61.317538200357745,6473763.906099659,True
DCA_7y,2000-01,2010-01,7312299.898483346,-26.877001015166535,-3.0817866525851945,61.3175382003578,6473763.906099659,True
Hybrid25pct_7y,2000-01,2010-01,7102665.900387431,-28.973340996125696,-3.363289400281222,61.31753820035777,6473763.906099659,True
DCA_10y,2000-01,2010-01,7587428.8640787555,-24.125711359212442,-2.723157991791769,54.788193406957674,6473763.906099659,True
Hybrid25pct_10y,2000-01,2010-01,7309012.624583986,-26.90987375416014,-3.086144531608026,56.38036116204125,6473763.906099659,True
LumpSum,2000-02,2010-02,6499925.858542324,-35.000741414576765,-4.216469597151152,61.317538200357745,6499925.858542324,False
DCA_3y,2000-02,2010-02,7190737.204841075,-28.092627951589243,-3.244125681882193,61.31753820035777,6499925.858542324,True
Hybrid25pct_3y,2000-02,2010-02,7018034.368266397,-29.81965631733603,-3.4790586008390134,61.317538200357724,6499925.858542324,True
DCA_5y,2000-02,2010-02,7662143.649387723,-23.378563506122774,-2.6277895651852234,61.317538200357745,6499925.858542324,True
Hybrid25pct_5y,2000-02,2010-02,7371589.201676374,-26.28410798323626,-3.003489066310794,61.317538200357745,6499925.858542324,True
DCA_7y,2000-02,2010-02,7417648.003105642,-25.823519968943575,-2.9430539125052113,61.3175382003578,6499925.858542324,True
Hybrid25pct_7y,2000-02,2010-02,7188217.466964819,-28.11782533035182,-3.247516681813545,61.31753820035777,6499925.858542324,True
DCA_10y,2000-02,2010-02,7737772.668669545,-22.622273313304554,-2.5321027884872116,54.38071932033834,6499925.858542324,True
Hybrid25pct_10y,2000-02,2010-02,7428310.966137743,-25.716890338622576,-2.929110870583196,56.05933358667836,6499925.858542324,True
LumpSum,2000-03,2010-03,7067180.3455234775,-29.328196544765227,-3.411678857278,61.317538200357745,7067180.3455234775,False
DCA_3y,2000-03,2010-03,8095396.629221554,-19.04603370778446,-2.090729857859075,61.31753820035778,7067180.3455234775,True
Hybrid25pct_3y,2000-03,2010-03,7838342.558297043,-21.616574417029575,-2.4061560592824827,61.317538200357724,7067180.3455234775,True
DCA_5y,2000-03,2010-03,8541139.815934666,-14.588601840653348,-1.5645381914210055,61.31753820035774,7067180.3455234775,True
Hybrid25pct_5y,2000-03,2010-03,8172649.948331869,-18.273500516681306,-1.9976951349687355,61.317538200357745,7067180.3455234775,True
DCA_7y,2000-03,2010-03,8236996.388722888,-17.63003611277112,-1.9208061500890494,61.3175382003578,7067180.3455234775,True
Hybrid25pct_7y,2000-03,2010-03,7944542.377923041,-20.554576220769594,-2.2747278386676117,61.31753820035777,7067180.3455234775,True
DCA_10y,2000-03,2010-03,8633420.01183252,-13.6657998816748,-1.4587000941549744,53.97263145546681,7067180.3455234775,True
Hybrid25pct_10y,2000-03,2010-03,8241860.095255265,-17.581399047447356,-1.9150163975073187,55.72240930811544,7067180.3455234775,True
LumpSum,2000-04,2010-04,7107036.328949735,-28.92963671050266,-3.3573447740417373,61.31753820035774,7107036.328949735,False
DCA_3y,2000-04,2010-04,8357710.731776843,-16.42289268223157,-1.7780089183856984,61.31753820035777,7107036.328949735,True
Hybrid25pct_3y,2000-04,2010-04,8045042.131070074,-19.549578689299263,-2.1518019320331705,61.317538200357724,7107036.328949735,True
