strategy,start_date,end_date,final_value,return_pct,cagr_pct,max_drawdown_pct,lump_final,beats_lump
LumpSum,1999-07,2009-07,6425321.009107935,-35.746789908920654,-4.326980013729131,57.36556837645361,6425321.009107935,False
DCA_3y,1999-07,2009-07,7319117.507331002,-26.80882492668999,-3.0727542904101734,57.365568376453645,6425321.009107935,True
Hybrid25pct_3y,1999-07,2009-07,7095668.382775241,-29.04331617224759,-3.3728142332655198,57.36556837645361,6425321.009107935,True
DCA_5y,1999-07,2009-07,8376564.857666719,-16.234351423332814,-1.7558735206178677,57.36556837645361,6425321.009107935,True
Hybrid25pct_5y,1999-07,2009-07,7888753.89552702,-21.112461044729802,-2.343570694140096,57.36556837645361,6425321.009107935,True
DCA_7y,1999-07,2009-07,8068475.406734217,-19.31524593265783,-2.123338390281082,57.365568376453666,6425321.009107935,True
Hybrid25pct_7y,1999-07,2009-07,7657686.807327652,-23.42313192672347,-2.633454901385124,57.36556837645364,6425321.009107935,True
DCA_10y,1999-07,2009-07,7921953.870320729,-20.78046129679271,-2.3025494228515297,53.360176879844424,6425321.009107935,True
Hybrid25pct_10y,1999-07,2009-07,7547795.65501753,-24.522043449824704,-2.774090739027346,54.27012680451002,6425321.009107935,True
LumpSum,1999-08,2009-08,6628117.664822721,-33.718823351772784,-4.029220790617172,57.36556837645362,6628117.664822721,False
DCA_3y,1999-08,2009-08,7534872.089100253,-24.65127910899747,-2.7907508964822303,57.365568376453645,6628117.664822721,True
Hybrid25pct_3y,1999-08,2009-08,7308183.483030876,-26.918165169691243,-3.0872439880062608,57.36556837645361,6628117.664822721,True
DCA_5y,1999-08,2009-08,8545376.564904608,-14.546234350953924,-1.5596564860824946,57.36556837645362,6628117.664822721,True
Hybrid25pct_5y,1999-08,2009-08,8066061.839884136,-19.339381601158646,-2.1262666221882,57.36556837645361,6628117.664822721,True
DCA_7y,1999-08,2009-08,8195225.327198829,-18.047746728011717,-1.9706574687257228,57.36556837645368,6628117.664822721,True
Hybrid25pct_7y,1999-08,2009-08,7803448.411604808,-21.965515883951923,-2.449689436946312,57.365568376453645,6628117.664822721,True
DCA_10y,1999-08,2009-08,8081195.287641053,-19.18804712358947,-2.107919155757998,53.00354236108495,6628117.664822721,True
Hybrid25pct_10y,1999-08,2009-08,7717925.88193647,-22.820741180635295,-2.5571314501962705,54.006937126495544,6628117.664822721,True
LumpSum,1999-09,2009-09,6038106.488455897,-39.618935115441026,-4.919802143306018,57.36556837645362,6038106.488455897,False
DCA_3y,1999-09,2009-09,7193741.947584392,-28.06258052415609,-3.24008337231525,57.365568376453645,6038106.488455897,True
Hybrid25pct_3y,1999-09,2009-09,6904833.082802274,-30.951669171977258,-3.635889169585793,57.3655683764536,6038106.488455897,True
DCA_5y,1999-09,2009-09,8080999.974419437,-19.19000025580563,-2.1081557522631966,57.36556837645361,6038106.488455897,True
Hybrid25pct_5y,1999-09,2009-09,7570276.602928551,-24.297233970714494,-2.7451709504231037,57.36556837645361,6038106.488455897,True
DCA_7y,1999-09,2009-09,7712869.99602673,-22.871300039732702,-2.5635166542521515,57.365568376453666,6038106.488455897,True
Hybrid25pct_7y,1999-09,2009-09,7294179.119134028,-27.05820880865971,-3.10583100437678,57.365568376453645,6038106.488455897,True
DCA_10y,1999-09,2009-09,7639982.533806189,-23.600174661938112,-2.6559891213850717,52.645508734642085,6038106.488455897,True
Hybrid25pct_10y,1999-09,2009-09,7239513.522468616,-27.604864775313843,-3.1786935710199637,53.704514207127055,6038106.488455897,True
LumpSum,1999-10,2009-10,5720798.777407617,-42.79201222592383,-5.431681452374715,57.36556837645362,5720798.777407617,False
DCA_3y,1999-10,2009-10,7178692.03639262,-28.2130796360738,-3.260345440793,57.36556837645364,5720798.777407617,True
Hybrid25pct_3y,1999-10,2009-10,6814218.721646375,-31.857812783536254,-3.763103999755135,57.3655683764536,5720798.777407617,True
DCA_5y,1999-10,2009-10,7982602.695378677,-20.173973046213234,-2.228010728858054,57.36556837645362,5720798.777407617,True
Hybrid25pct_5y,1999-10,2009-10,7417151.71588591,-25.828482841140897,-2.943703303959322,57.36556837645362,5720798.777407617,True
DCA_7y,1999-10,2009-10,7579711.853159802,-24.202881468401984,-2.7330563416155473,57.36556837645368,5720798.777407617,True
