initial_ratio,amounts,ratios,avg_return_pct,median_return_pct,min_return_pct,max_return_pct,avg_cagr_pct,avg_max_drawdown_pct,worst_drawdown_pct,avg_unused_cash,avg_trigger_count
0.0,"(200, 200, 200, 200, 200)","(0.3, 0.3, 0.3, 0.3, 0.3)",321.4318833809663,218.17398902077014,-56.9368981053884,1333.989577079193,11.534452821217789,52.61611116635291,79.4122479034186,384615.3846153846,4.8076923076923075
0.2,"(200, 200, 200, 200, 200)","(0.3, 0.3, 0.3, 0.3, 0.3)",319.47560374794915,185.40770619935583,-58.68456935816311,1206.4095645062912,11.414315623797933,52.333310118968775,80.84348257224487,0.0,4.8076923076923075
0.0,"(200, 200, 200, 200, 200)","(0.5, 0.3, 0.3, 0.3, 0.3)",317.4165829728435,219.9188014672028,-56.68280878788693,1311.8822375369264,11.546156064857428,52.14010857117424,78.90010043879202,384615.3846153846,4.8076923076923075
0.2,"(200, 200, 200, 200, 200)","(0.5, 0.3, 0.3, 0.3, 0.3)",315.4603033398263,187.15251864578846,-58.43048004066163,1184.3022249640244,11.435006694719211,51.814956043322795,80.43502972274106,0.0,4.8076923076923075
0.0,"(200, 200, 200, 200, 200)","(0.7, 0.3, 0.3, 0.3, 0.3)",313.40128256472065,221.6636139136354,-56.42871947038546,1289.7748979946596,11.55284139445247,51.668513963931815,78.37573351855802,384615.3846153846,4.8076923076923075
0.0,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.3, 0.3, 0.3)",313.328680122454,220.45310762902534,-56.429769074281666,1289.7748979946596,11.551375932902348,51.649237806863766,78.37573351855802,384615.3846153846,4.8076923076923075
0.0,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.5, 0.3, 0.3)",311.81697592652705,220.98741379084794,-56.2392118045699,1267.667558452393,11.618160757091358,51.21018023624217,77.87827346628788,384615.3846153846,4.8076923076923075
0.2,"(200, 200, 200, 200, 200)","(0.7, 0.3, 0.3, 0.3, 0.3)",311.44500293170347,188.89733109222107,-58.17639072316017,1162.1948854217576,11.451154414686176,51.29855427839095,80.01722130088082,0.0,4.8076923076923075
0.2,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.3, 0.3, 0.3)",311.37240048943676,187.68682480761106,-58.17744032705636,1162.1948854217576,11.449232089519235,51.280479730353356,80.02201457877305,0.0,4.8076923076923075
0.0,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.5, 0.5, 0.3)",310.4355798064277,221.87215550009557,-54.957091846337235,1245.5602189101264,11.695247590435836,50.74277278735786,77.11909388075932,384615.3846153846,4.8076923076923075
0.0,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.5, 0.5, 0.5)",309.9883996451392,222.3190183054847,-53.28026860543784,1223.4528793678599,11.794940610053873,50.33709422303952,76.15639941933385,384615.3846153846,4.8076923076923075
0.2,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.5, 0.3, 0.3)",309.8606962935098,188.22113096943366,-57.986883057344585,1140.087545879491,11.519352850485406,50.82587480842396,79.5626296118047,0.0,4.8076923076923075
